ImageId,Prediction,Ground_Truth
1,17,17
2,25,25
3,25,25
4,16,16
5,14,14
6,35,35
7,30,30
8,25,25
9,7,7
10,3,20
11,6,6
12,35,35
13,21,21
14,34,34
15,29,29
16,11,11
17,33,33
18,36,36
19,38,24
20,27,27
21,9,9
22,27,27
23,8,39
24,39,39
25,25,25
26,38,38
27,33,33
28,9,9
29,4,20
30,18,18
31,30,30
32,29,29
33,28,28
34,21,21
35,1,1
36,23,23
37,28,2
38,28,28
39,38,38
40,23,23
41,20,20
42,12,12
43,11,16
44,17,0
45,4,4
46,19,19
47,36,36
48,39,39
49,11,16
50,31,31
51,20,20
52,6,6
53,32,32
54,26,26
55,27,27
56,10,10
57,5,5
58,11,16
59,27,27
60,7,7
61,24,24
62,39,39
63,20,4
64,16,16
65,9,9
66,18,18
67,5,5
68,5,5
69,12,12
70,7,9
71,14,12
72,28,38
73,17,17
74,13,13
75,21,3
76,13,13
77,8,8
78,2,2
79,37,37
80,23,15
81,1,1
82,5,5
83,24,24
84,21,21
85,12,12
86,1,1
87,36,36
88,17,17
89,2,2
90,10,10
91,36,36
92,3,3
93,25,25
94,35,35
95,31,31
96,24,24
97,15,15
98,34,20
99,5,5
100,22,22
101,8,8
102,0,15
103,31,31
104,3,3
105,25,25
106,0,12
107,15,15
108,32,32
109,4,4
110,23,23
111,38,10
112,9,9
113,0,16
114,27,27
115,28,28
116,38,38
117,25,25
118,18,18
119,5,5
120,4,4
